FirstName,LastName,Title,CompanyName,PersonalLinkdin,website,CompanyLinkdin,InvestorCity,InvestorState,Investor'sCountry,FundHQ,NumLeadInvestment,TotalNumberOfInvestment,RecentInvestments,Stages,Sectors
Brian,Y.,Managing Director,Corbel Capital,http://www.linkedin.com/in/brianyoon80,https://corbelcap.com,http://www.linkedin.com/company/corbel_capital_partners,Los Angeles,California,United States,United States,5,7,"Locally, Healthly, Switchbox, RealDefense, LML Estate Management","Debt,Early Stage Venture,Private Equity,Venture","Business Intelligence,E-Commerce,Health Care"
Matthew,Whelan,Managing Director - Finance,Gryphon Investors,http://www.linkedin.com/in/matthew-whelan-4476091,https://gryphoninvestors.com,http://www.linkedin.com/company/gryphon-investors,San Francisco,California,United States,United States,7,9,"Caylent, Heartland Veterinary Partners, Techmer PM",Private Equity,"Health Care,Manufacturing,Pet"
Ken,Nagy,Owner,TCG,http://www.linkedin.com/in/ken-nagy-33261144,https://tcg.co,http://www.linkedin.com/company/the-chernin-group,,,United States,United States,49,121,"Substack, Unrivaled Sports, audiochuck, Men In Blazers, Judo Bio","Early Stage Venture,Late Stage Venture,Post IPO,Private Equity,Seed,Series A,Series C,Venture","Blockchain,Media and Entertainment,Software"
Nathan,Ott,Partner,Abry,http://www.linkedin.com/in/nathanrott,https://abry.com,http://www.linkedin.com/company/abry-partners,Boston,Massachusetts,United States,United States,38,93,"Oracle RMS, Aegis Sciences, Burgess Hodgson, European Dynamics, AirHelp","Debt,Early Stage Venture,Private Equity","Financial Services,Information Technology,Software"
Felix,Racca,Gerneral Partner,alpha4 ventures,http://www.linkedin.com/in/felixracca,https://alpha4ventures.com,http://www.linkedin.com/company/alpha4-ventures,Irving,Texas,United States,United States,1,17,"Vexi, Katapult Studios, Instaleap LLC, GAIA, Alquilando","Seed,Series A,Series B,Series C,Venture","E-Commerce,Financial Services,Software"
Farzin,Shadpour,Partner,Plug and Play Tech Center,http://www.linkedin.com/in/farzin-shadpour,https://pnptc.com,http://www.linkedin.com/company/plug-and-play-tech-center,San Francisco,California,United States,United States,257,2222,"Pillar, Predicti, Catena Clearing, Vibranium Labs, Myriad AI","Early Stage Venture,Non Equity Assistance,Pre-Seed,Private Equity,Seed","Artificial Intelligence (AI),Generative AI,Software"
Jit,Sinha,Co-Founder,Resolve Growth,http://www.linkedin.com/in/jit-sinha-46a32,https://resolvegrowth.com,http://www.linkedin.com/company/resolvegrowth,Sparrows Point,Maryland,United States,United States,11,15,"AppWork, ACTO, Kahuna Workforce, Cecilian Partners, VETRO FiberMap",Private Equity,"Enterprise Software,SaaS,Software"
Joanne,Lin,Partner,NTTVC,http://www.linkedin.com/in/joanne-lin,https://nttvc.com,http://www.linkedin.com/company/nttventurecapital,Cold Brook,New York,United States,United States,9,21,"Seemplicity, Anumana, Neysa, Eko Health","Pre-Seed,Seed,Series A,Series B,Series C,Series D","AI,Health Care,Software"
David,Steinberg,General Partner,Longwood Fund,http://www.linkedin.com/in/david-steinberg-b492632,https://longwoodfund.com,http://www.linkedin.com/company/longwoodfund,Milton,Florida,United States,United States,11,66,"Avenzo Therapeutics, Solu Therapeutics, Newleos Therapeutics, Be Biopharma, Evommune","Early Stage Venture,Late Stage Venture,Private Equity,Seed,Venture","Biotechnology,Health Care,Therapeutics"
Scott,Birnbaum,Founder,Red Sea Ventures,http://www.linkedin.com/in/scottbirnbaum1,https://redseaventures.com,http://www.linkedin.com/company/red-sea-ventures,Cold Brook,New York,United States,United States,14,112,"Jacob Bar, Elm, Reclip, Staircase Studios, Mesa","Pre-Seed,Seed,Series A,Series C,Venture","Health Care,Information Technology,Software"
Rob,Hart,Partner,Telegraph Hill,http://www.linkedin.com/in/robchart,https://thpartners.net,http://www.linkedin.com/company/telegraph-hill-partners,Miami,Florida,United States,United States,29,42,,,
Marisa,Howard,Talent Partner,Definition Capital,http://www.linkedin.com/in/marisa-fezza,https://definitioncap.com,http://www.linkedin.com/company/definition-capital,Cold Brook,New York,United States,United States,2,24,"Cognition, Ramp, Salsa, tldraw, Together AI","Seed,Series A,Series B,Series C,Series E","FinTech,Financial Services,Software"
